user_id,join_date,last_activity_date,days_active,retention_flag,retention_rate
1,12/8/2023,4/12/2022,326,1,92.24%
2,1/8/2024,10/26/2024,397,1,
3,3/23/2023,7/1/2023,187,1,
4,12/20/2025,9/25/2022,12,0,
5,4/10/2024,8/11/2021,3,0,
6,12/20/2025,9/10/2020,37,1,
7,2/24/2023,7/7/2022,335,1,
8,3/5/2023,11/21/2023,111,1,
9,4/24/2025,6/18/2020,92,1,
10,2/19/2024,4/14/2023,37,1,
11,5/22/2025,8/25/2021,293,1,
12,12/25/2024,6/18/2022,188,1,
13,8/16/2023,10/30/2020,101,1,
14,5/10/2024,2/21/2023,146,1,
15,3/8/2025,12/29/2021,275,1,
16,10/24/2024,9/7/2021,213,1,
17,3/27/2025,7/8/2020,173,1,
18,5/31/2024,11/24/2020,173,1,
19,1/27/2025,8/13/2023,215,1,
20,4/12/2025,12/2/2021,318,1,
21,6/9/2023,9/12/2024,258,1,
22,2/1/2024,4/17/2023,281,1,
23,7/24/2023,1/7/2022,180,1,
24,4/4/2025,8/6/2020,53,1,
25,7/5/2023,2/19/2024,137,1,
26,11/2/2025,11/15/2023,294,1,
27,6/13/2023,3/6/2021,221,1,
28,7/6/2025,7/5/2024,311,1,
29,9/11/2025,10/5/2024,391,1,
30,5/18/2023,1/25/2023,345,1,
31,9/10/2025,3/15/2023,35,1,
32,1/24/2025,2/13/2022,107,1,
33,3/13/2025,6/17/2022,392,1,
34,8/30/2023,11/3/2022,114,1,
35,11/26/2023,3/14/2023,281,1,
36,11/21/2023,7/16/2021,398,1,
37,9/10/2024,8/5/2024,375,1,
38,5/7/2025,2/24/2022,311,1,
39,4/10/2025,6/13/2022,347,1,
40,4/15/2023,12/26/2021,55,1,
41,7/2/2023,8/4/2023,158,1,
42,5/23/2023,7/2/2024,355,1,
43,2/1/2024,5/30/2024,346,1,
44,2/16/2025,8/15/2023,21,0,
45,12/2/2025,12/28/2020,350,1,
46,3/23/2025,3/30/2022,323,1,
47,5/17/2024,10/24/2023,4,0,
48,4/21/2024,4/30/2024,330,1,
49,12/29/2023,2/15/2023,158,1,
50,5/30/2024,7/8/2021,34,1,
51,9/2/2025,4/21/2021,14,0,
52,1/13/2025,7/10/2023,140,1,
53,3/23/2025,11/23/2020,292,1,
54,7/4/2023,4/19/2020,14,0,
55,3/10/2024,3/8/2024,227,1,
56,5/9/2023,12/1/2021,52,1,
57,6/7/2025,12/23/2022,39,1,
58,11/19/2025,3/24/2022,398,1,
59,1/2/2023,6/23/2022,309,1,
60,9/9/2023,1/11/2021,29,0,
61,3/18/2024,5/26/2021,326,1,
62,9/18/2025,9/19/2023,214,1,
63,3/30/2025,4/5/2021,391,1,
64,9/2/2023,6/3/2024,265,1,
65,12/8/2025,12/14/2022,261,1,
66,6/2/2023,12/26/2020,141,1,
67,5/2/2025,11/14/2021,30,1,
68,4/15/2023,7/18/2021,102,1,
69,8/12/2023,6/7/2020,139,1,
70,1/24/2023,7/17/2022,353,1,
71,10/29/2024,6/26/2022,37,1,
72,2/27/2025,12/29/2023,278,1,
73,3/4/2025,3/31/2021,260,1,
74,9/18/2025,2/7/2023,224,1,
75,4/13/2024,4/3/2021,15,0,
76,3/21/2024,2/10/2024,45,1,
77,2/27/2024,4/20/2023,373,1,
78,2/6/2024,5/1/2020,113,1,
79,1/22/2024,10/11/2020,247,1,
80,12/27/2023,6/16/2021,218,1,
81,12/21/2023,3/4/2023,11,0,
82,3/18/2025,1/5/2024,342,1,
83,10/20/2025,12/27/2023,356,1,
84,10/14/2024,4/1/2023,392,1,
85,3/4/2023,4/10/2023,168,1,
86,3/8/2025,8/31/2020,41,1,
87,9/29/2024,8/27/2022,91,1,
88,6/15/2024,8/16/2023,204,1,
89,5/30/2023,8/25/2021,209,1,
90,4/23/2025,1/17/2021,368,1,
91,9/13/2023,3/25/2022,121,1,
92,9/22/2024,8/9/2023,227,1,
93,11/23/2025,5/1/2021,312,1,
94,6/7/2024,3/8/2023,282,1,
95,1/10/2024,8/18/2024,334,1,
96,2/27/2023,6/1/2024,253,1,
97,4/24/2023,5/19/2021,396,1,
98,10/25/2023,8/16/2022,205,1,
99,7/10/2023,8/30/2023,27,0,
100,6/13/2024,7/20/2020,141,1,
101,4/18/2025,6/27/2021,390,1,
102,5/21/2025,7/19/2022,331,1,
103,6/1/2024,10/4/2022,305,1,
104,3/19/2025,10/22/2022,315,1,
105,9/17/2023,1/26/2023,44,1,
106,8/24/2023,2/5/2021,379,1,
107,5/27/2025,4/3/2022,201,1,
108,8/19/2024,6/22/2023,130,1,
109,10/25/2024,7/12/2023,386,1,
110,7/25/2025,2/12/2022,378,1,
111,9/28/2023,8/18/2021,318,1,
112,1/27/2024,11/19/2024,366,1,
113,9/26/2024,9/8/2020,115,1,
114,11/28/2025,5/14/2021,207,1,
115,2/12/2025,4/4/2023,83,1,
116,7/28/2025,2/22/2021,172,1,
117,5/14/2023,3/16/2021,112,1,
118,9/9/2024,7/1/2022,133,1,
119,2/3/2025,4/29/2022,140,1,
120,3/10/2024,8/6/2021,135,1,
121,12/13/2023,4/26/2023,330,1,
122,12/24/2023,1/19/2021,72,1,
123,6/10/2024,2/24/2021,9,0,
124,6/12/2023,1/1/2023,147,1,
125,7/4/2023,9/16/2023,339,1,
126,3/27/2025,5/20/2023,307,1,
127,10/26/2023,10/21/2021,105,1,
128,8/13/2024,5/4/2024,210,1,
129,1/21/2023,8/5/2021,250,1,
130,1/15/2024,9/13/2023,38,1,
131,8/22/2024,8/15/2023,131,1,
132,5/24/2025,9/1/2023,265,1,
133,8/11/2025,4/14/2022,394,1,
134,7/25/2025,9/20/2021,47,1,
135,2/7/2025,11/11/2022,369,1,
136,3/29/2023,8/6/2021,297,1,
137,8/19/2023,12/12/2021,10,0,
138,5/13/2025,2/3/2024,344,1,
139,8/4/2025,8/8/2020,6,0,
140,1/28/2025,6/8/2022,45,1,
141,6/21/2025,4/25/2021,296,1,
142,10/22/2024,4/4/2023,88,1,
143,10/3/2023,7/14/2024,299,1,
144,3/22/2024,2/28/2023,161,1,
145,3/4/2025,1/15/2023,204,1,
146,4/6/2023,8/8/2020,188,1,
147,11/27/2023,5/3/2021,304,1,
148,1/29/2025,2/28/2023,19,0,
149,8/3/2024,9/17/2023,5,0,
150,4/18/2023,10/24/2023,320,1,
151,2/22/2025,3/16/2024,88,1,
152,12/15/2025,12/6/2023,55,1,
153,8/24/2024,12/29/2020,158,1,
154,5/16/2023,3/2/2023,170,1,
155,1/22/2025,9/30/2021,187,1,
156,5/14/2025,11/19/2020,1,0,
157,3/6/2024,7/2/2021,45,1,
158,2/12/2024,8/2/2023,147,1,
159,7/4/2025,3/14/2021,3,0,
160,6/19/2024,11/29/2023,330,1,
161,5/18/2023,10/2/2024,303,1,
162,11/6/2023,3/20/2021,192,1,
163,5/27/2025,7/15/2022,392,1,
164,8/23/2023,8/6/2024,303,1,
165,8/13/2025,1/3/2023,286,1,
166,3/12/2024,8/13/2023,118,1,
167,1/6/2023,10/28/2021,348,1,
168,2/20/2023,7/22/2022,52,1,
169,11/28/2023,10/21/2020,73,1,
170,7/30/2024,2/2/2024,365,1,
171,7/9/2025,7/23/2023,178,1,
172,4/16/2023,2/11/2022,326,1,
173,10/24/2024,9/26/2022,136,1,
174,12/4/2025,3/10/2022,224,1,
175,4/12/2024,10/21/2020,145,1,
176,3/29/2025,2/6/2022,122,1,
177,3/21/2024,10/18/2022,43,1,
178,6/11/2024,9/8/2021,157,1,
179,5/3/2023,11/14/2022,363,1,
180,4/18/2024,11/2/2024,312,1,
181,10/11/2024,9/2/2024,332,1,
182,3/20/2023,5/15/2021,323,1,
183,4/28/2023,3/17/2024,228,1,
184,7/15/2025,11/26/2022,116,1,
185,5/21/2023,1/3/2021,335,1,
186,4/23/2025,8/6/2023,310,1,
187,12/21/2025,6/8/2022,23,0,
188,4/24/2024,10/3/2022,92,1,
189,5/13/2025,5/17/2021,185,1,
190,7/16/2024,7/20/2021,305,1,
191,1/7/2024,3/9/2023,141,1,
192,12/30/2023,4/23/2023,140,1,
193,8/3/2023,9/19/2022,203,1,
194,3/28/2023,5/8/2023,152,1,
195,3/11/2024,7/15/2021,64,1,
196,9/28/2024,10/10/2023,8,0,
197,12/8/2024,5/26/2024,266,1,
198,5/17/2023,5/30/2021,49,1,
199,8/30/2024,7/11/2021,340,1,
200,6/4/2025,6/7/2022,320,1,
201,1/23/2023,2/25/2022,225,1,
202,2/6/2025,11/8/2022,258,1,
203,12/18/2023,3/8/2023,251,1,
204,7/2/2025,10/1/2023,48,1,
205,6/17/2024,12/24/2022,182,1,
206,12/30/2024,5/29/2024,176,1,
207,2/17/2025,3/8/2023,90,1,
208,6/30/2025,9/13/2023,232,1,
209,5/26/2025,11/10/2020,217,1,
210,8/13/2024,5/30/2021,67,1,
211,6/21/2023,6/16/2021,305,1,
212,11/23/2025,5/14/2021,165,1,
213,4/9/2025,7/27/2020,34,1,
214,8/19/2023,1/15/2022,276,1,
215,10/4/2024,8/23/2022,361,1,
216,6/25/2023,4/10/2021,272,1,
217,4/11/2025,12/12/2022,94,1,
218,6/9/2025,10/22/2021,207,1,
219,8/18/2025,7/31/2024,230,1,
220,9/24/2025,2/24/2020,35,1,
221,6/28/2024,12/7/2021,211,1,
222,5/28/2025,5/26/2021,187,1,
223,12/8/2024,5/9/2021,301,1,
224,9/9/2024,1/10/2022,286,1,
225,6/28/2024,6/9/2021,197,1,
226,11/5/2025,9/6/2022,150,1,
227,12/5/2023,10/31/2023,324,1,
228,7/16/2024,2/2/2023,204,1,
229,11/10/2024,1/30/2021,300,1,
230,7/23/2024,8/28/2022,11,0,
231,1/22/2024,6/26/2020,5,0,
232,6/17/2023,5/11/2022,59,1,
233,12/22/2024,8/24/2023,98,1,
234,3/18/2024,12/25/2021,340,1,
235,2/5/2023,5/26/2024,194,1,
236,8/26/2023,1/17/2021,296,1,
237,7/1/2025,2/20/2024,378,1,
238,11/27/2023,7/2/2024,251,1,
239,4/16/2023,3/17/2021,352,1,
240,2/6/2024,10/10/2023,371,1,
241,2/4/2024,3/25/2023,220,1,
242,3/15/2024,4/26/2020,10,0,
243,12/28/2024,9/22/2022,242,1,
244,5/29/2024,10/8/2020,24,0,
245,10/12/2023,10/14/2020,54,1,
246,6/12/2023,3/16/2024,357,1,
247,4/20/2023,4/2/2022,24,0,
248,3/16/2023,11/20/2023,235,1,
249,5/16/2023,3/7/2023,279,1,
250,6/12/2025,8/19/2023,41,1,
251,9/13/2024,9/19/2023,363,1,
252,10/13/2025,7/28/2023,79,1,
253,5/17/2023,4/4/2021,342,1,
254,9/21/2024,8/5/2020,50,1,
255,12/12/2025,2/27/2022,287,1,
256,4/9/2024,12/5/2022,17,0,
257,7/15/2023,2/11/2023,270,1,
258,2/18/2025,1/22/2023,284,1,
259,9/11/2023,2/9/2023,290,1,
260,3/17/2025,12/9/2022,32,1,
261,3/18/2023,3/4/2021,320,1,
262,3/20/2024,10/4/2024,319,1,
263,7/18/2025,5/13/2022,243,1,
264,6/8/2024,6/24/2024,251,1,
265,6/24/2024,3/28/2023,221,1,
266,10/2/2023,9/19/2023,76,1,
267,7/26/2025,10/31/2020,144,1,
268,5/2/2024,12/17/2020,137,1,
269,10/11/2025,5/12/2023,260,1,
270,11/24/2023,6/2/2022,270,1,
271,3/3/2023,9/5/2023,138,1,
272,10/28/2024,9/3/2020,50,1,
273,7/13/2025,11/15/2020,238,1,
274,11/30/2025,12/11/2022,388,1,
275,9/23/2025,10/14/2021,228,1,
276,2/2/2024,6/5/2023,361,1,
277,2/14/2023,8/13/2020,185,1,
278,10/12/2024,4/19/2023,113,1,
279,3/10/2023,11/15/2022,26,0,
280,11/13/2023,9/24/2024,334,1,
281,2/8/2025,1/19/2022,48,1,
282,1/15/2025,6/9/2023,145,1,
283,1/5/2025,10/26/2023,8,0,
284,3/7/2024,2/28/2022,124,1,
285,5/28/2024,11/2/2023,138,1,
286,1/25/2024,7/15/2022,254,1,
287,12/19/2025,11/14/2021,385,1,
288,7/2/2025,12/3/2024,365,1,
289,9/7/2025,10/5/2023,181,1,
290,4/12/2024,10/16/2020,126,1,
291,2/10/2023,12/5/2020,339,1,
292,1/3/2025,12/16/2020,292,1,
293,12/5/2024,3/2/2022,121,1,
294,3/12/2025,7/10/2021,208,1,
295,5/23/2025,8/25/2020,176,1,
296,2/17/2023,1/26/2021,212,1,
297,9/5/2023,12/3/2020,187,1,
298,12/23/2023,10/3/2021,11,0,
299,4/21/2023,11/28/2023,258,1,
300,7/12/2024,8/5/2022,287,1,
301,12/18/2023,7/30/2021,184,1,
302,12/2/2025,7/25/2022,273,1,
303,8/30/2023,3/19/2024,347,1,
304,10/23/2025,10/15/2022,246,1,
305,7/30/2024,3/19/2023,236,1,
306,7/27/2023,10/27/2021,176,1,
307,11/19/2023,12/4/2021,217,1,
308,7/31/2024,10/1/2021,68,1,
309,9/20/2025,6/20/2022,24,0,
310,3/29/2025,3/5/2021,285,1,
311,7/19/2025,4/30/2022,70,1,
312,12/26/2025,9/14/2020,76,1,
313,7/8/2025,12/10/2021,90,1,
314,9/5/2023,6/18/2022,390,1,
315,3/27/2023,12/6/2020,76,1,
316,10/9/2025,11/26/2023,48,1,
317,6/19/2024,8/11/2021,376,1,
318,10/5/2024,5/8/2021,218,1,
319,1/22/2023,5/5/2024,310,1,
320,9/26/2024,3/17/2021,232,1,
321,1/28/2025,4/7/2022,398,1,
322,11/8/2023,7/12/2023,42,1,
323,6/17/2024,2/15/2023,323,1,
324,10/27/2023,6/6/2021,96,1,
325,6/21/2023,3/13/2022,159,1,
326,11/8/2024,10/21/2024,312,1,
327,2/21/2024,12/24/2020,224,1,
328,5/22/2024,4/23/2021,1,0,
329,1/5/2025,6/14/2022,110,1,
330,2/27/2024,7/10/2023,217,1,
331,1/26/2023,3/10/2024,250,1,
332,1/13/2024,9/21/2022,87,1,
333,4/24/2024,11/23/2022,240,1,
334,9/5/2025,11/3/2022,117,1,
335,12/1/2023,9/17/2023,379,1,
336,12/20/2024,1/7/2023,130,1,
337,3/27/2025,3/5/2024,346,1,
338,8/2/2024,11/30/2023,82,1,
339,1/12/2025,8/5/2022,137,1,
340,4/28/2025,5/24/2023,157,1,
341,10/28/2025,5/5/2022,12,0,
342,12/3/2025,10/14/2024,342,1,
343,8/10/2024,7/9/2020,90,1,
344,10/20/2025,6/22/2024,399,1,
345,3/6/2023,3/25/2023,335,1,
346,1/11/2023,7/15/2021,80,1,
347,4/22/2023,1/16/2021,193,1,
348,11/15/2024,2/5/2021,120,1,
349,8/7/2024,1/18/2023,223,1,
350,11/5/2024,8/2/2023,267,1,
351,1/29/2025,8/16/2021,270,1,
352,3/29/2025,7/22/2023,170,1,
353,5/27/2023,1/21/2023,337,1,
354,3/21/2025,10/26/2023,201,1,
355,7/27/2023,2/1/2024,287,1,
356,5/31/2023,6/16/2023,3,0,
357,11/16/2024,1/23/2022,52,1,
358,12/17/2024,4/3/2021,36,1,
359,9/6/2024,7/29/2022,89,1,
360,5/16/2024,9/16/2023,127,1,
361,2/11/2025,11/13/2022,186,1,
362,12/7/2023,12/15/2020,27,0,
363,10/13/2024,3/15/2021,233,1,
364,9/14/2023,12/12/2021,168,1,
365,4/2/2024,7/4/2021,88,1,
366,6/14/2024,4/11/2024,384,1,
367,11/10/2023,3/31/2024,235,1,
